description,industry,level,size,line_code,value
Awareness of climate change: Very aware,"Rental, hiring, & real estate services",1,total,C0300.01,387
Awareness of climate change: Very aware,"Professional, scientific, & technical services",1,total,C0300.01,1992
Awareness of climate change: Very aware,Computer systems design,2,total,C0300.01,408
Awareness of climate change: Very aware,Other professional scientific,2,total,C0300.01,1587
Awareness of climate change: Very aware,Administrative & support services,1,total,C0300.01,762
Awareness of climate change: Very aware,Education & training,1,total,C0300.01,423
Awareness of climate change: Very aware,Health care & social assistance,1,total,C0300.01,879
Awareness of climate change: Very aware,Arts & recreation services,1,total,C0300.01,198
Awareness of climate change: Very aware,Other services,1,total,C0300.01,555
Awareness of climate change: Very aware,total,0,total,C0300.01,18540
Awareness of climate change: Somewhat aware,total,0,6–19 employees,C0300.02,15810
Awareness of climate change: Somewhat aware,total,0,20–49 employees,C0300.02,3732
Awareness of climate change: Somewhat aware,total,0,50–99 employees,C0300.02,1089
Awareness of climate change: Somewhat aware,total,0,100+ employees,C0300.02,786
Awareness of climate change: Somewhat aware,"Agriculture, forestry, & fishing",1,total,C0300.02,1269
Awareness of climate change: Somewhat aware,Agriculture,2,total,C0300.02,735
Awareness of climate change: Somewhat aware,Commercial fishing,2,total,C0300.02,21
Awareness of climate change: Somewhat aware,Forestry & logging,2,total,C0300.02,126
Awareness of climate change: Somewhat aware,"Agriculture, forestry, & fishing support services",2,total,C0300.02,387
Awareness of climate change: Somewhat aware,Mining,1,total,C0300.02,33
Awareness of climate change: Somewhat aware,Manufacturing,1,total,C0300.02,2586
Awareness of climate change: Somewhat aware,"Food, beverage, & tobacco",2,total,C0300.02,459
Awareness of climate change: Somewhat aware,"Textile, clothing, footwear, & leather",2,total,C0300.02,129
Awareness of climate change: Somewhat aware,Wood & paper product,2,total,C0300.02,294
Awareness of climate change: Somewhat aware,"Printing, publishing, & recorded media",2,total,C0300.02,102
Awareness of climate change: Somewhat aware,"Petroleum, coal, chemical, & associated product",2,total,C0300.02,204
Awareness of climate change: Somewhat aware,Non-metallic mineral product,2,total,C0300.02,90
Awareness of climate change: Somewhat aware,Metal product,2,total,C0300.02,588
Awareness of climate change: Somewhat aware,Transport and industrial machinery & equipment,2,total,C0300.02,456
Awareness of climate change: Somewhat aware,Other machinery & equipment,2,total,C0300.02,105
Awareness of climate change: Somewhat aware,Other manufacturing,2,total,C0300.02,159
Awareness of climate change: Somewhat aware,"Electricity, gas, water, & waste services",1,total,C0300.02,66
Awareness of climate change: Somewhat aware,Construction,1,total,C0300.02,2955
Awareness of climate change: Somewhat aware,Wholesale trade,1,total,C0300.02,1491
Awareness of climate change: Somewhat aware,Machinery & equipment wholesaling,2,total,C0300.02,609
Awareness of climate change: Somewhat aware,Other wholesale trade,2,total,C0300.02,879
Awareness of climate change: Somewhat aware,Retail trade,1,total,C0300.02,2145
Awareness of climate change: Somewhat aware,Accommodation & food services,1,total,C0300.02,3129
Awareness of climate change: Somewhat aware,"Transport, postal, & warehousing",1,total,C0300.02,921
Awareness of climate change: Somewhat aware,Information media & telecommunications,1,total,C0300.02,183
Awareness of climate change: Somewhat aware,Publishing,2,total,C0300.02,72
Awareness of climate change: Somewhat aware,Motion picture,2,total,C0300.02,51
Awareness of climate change: Somewhat aware,Telecommunications,2,total,C0300.02,57
Awareness of climate change: Somewhat aware,Financial & insurance services,1,total,C0300.02,246
Awareness of climate change: Somewhat aware,Finance,2,total,C0300.02,90
Awareness of climate change: Somewhat aware,Insurance,2,total,C0300.02,18
Awareness of climate change: Somewhat aware,Auxiliary,2,total,C0300.02,141
Awareness of climate change: Somewhat aware,"Rental, hiring, & real estate services",1,total,C0300.02,423
Awareness of climate change: Somewhat aware,"Professional, scientific, & technical services",1,total,C0300.02,2250
Awareness of climate change: Somewhat aware,Computer systems design,2,total,C0300.02,423
Awareness of climate change: Somewhat aware,Other professional scientific,2,total,C0300.02,1833
Awareness of climate change: Somewhat aware,Administrative & support services,1,total,C0300.02,804
Awareness of climate change: Somewhat aware,Education & training,1,total,C0300.02,513
Awareness of climate change: Somewhat aware,Health care & social assistance,1,total,C0300.02,1485
Awareness of climate change: Somewhat aware,Arts & recreation services,1,total,C0300.02,231
Awareness of climate change: Somewhat aware,Other services,1,total,C0300.02,678
Awareness of climate change: Somewhat aware,total,0,total,C0300.02,21417
Awareness of climate change: Not aware,total,0,6–19 employees,C0300.03,2955
Awareness of climate change: Not aware,total,0,20–49 employees,C0300.03,519
Awareness of climate change: Not aware,total,0,50–99 employees,C0300.03,105
Awareness of climate change: Not aware,total,0,100+ employees,C0300.03,42
Awareness of climate change: Not aware,"Agriculture, forestry, & fishing",1,total,C0300.03,54
Awareness of climate change: Not aware,Agriculture,2,total,C0300.03,24
Awareness of climate change: Not aware,Commercial fishing,2,total,C0300.03,0
Awareness of climate change: Not aware,Forestry & logging,2,total,C0300.03,12
Awareness of climate change: Not aware,"Agriculture, forestry, & fishing support services",2,total,C0300.03,18
Awareness of climate change: Not aware,Mining,1,total,C0300.03,3
Awareness of climate change: Not aware,Manufacturing,1,total,C0300.03,336
Awareness of climate change: Not aware,"Food, beverage, & tobacco",2,total,C0300.03,54
Awareness of climate change: Not aware,"Textile, clothing, footwear, & leather",2,total,C0300.03,9
Awareness of climate change: Not aware,Wood & paper product,2,total,C0300.03,42
Awareness of climate change: Not aware,"Printing, publishing, & recorded media",2,total,C0300.03,21
Awareness of climate change: Not aware,"Petroleum, coal, chemical, & associated product",2,total,C0300.03,33
Awareness of climate change: Not aware,Non-metallic mineral product,2,total,C0300.03,12
Awareness of climate change: Not aware,Metal product,2,total,C0300.03,66
Awareness of climate change: Not aware,Transport and industrial machinery & equipment,2,total,C0300.03,39
Awareness of climate change: Not aware,Other machinery & equipment,2,total,C0300.03,15
Awareness of climate change: Not aware,Other manufacturing,2,total,C0300.03,42
Awareness of climate change: Not aware,"Electricity, gas, water, & waste services",1,total,C0300.03,6
Awareness of climate change: Not aware,Construction,1,total,C0300.03,600
Awareness of climate change: Not aware,Wholesale trade,1,total,C0300.03,162
Awareness of climate change: Not aware,Machinery & equipment wholesaling,2,total,C0300.03,30
Awareness of climate change: Not aware,Other wholesale trade,2,total,C0300.03,129
Awareness of climate change: Not aware,Retail trade,1,total,C0300.03,456
Awareness of climate change: Not aware,Accommodation & food services,1,total,C0300.03,960
Awareness of climate change: Not aware,"Transport, postal, & warehousing",1,total,C0300.03,99
Awareness of climate change: Not aware,Information media & telecommunications,1,total,C0300.03,42
Awareness of climate change: Not aware,Publishing,2,total,C0300.03,12
Awareness of climate change: Not aware,Motion picture,2,total,C0300.03,18
Awareness of climate change: Not aware,Telecommunications,2,total,C0300.03,9
Awareness of climate change: Not aware,Financial & insurance services,1,total,C0300.03,30
Awareness of climate change: Not aware,Finance,2,total,C0300.03,6
Awareness of climate change: Not aware,Insurance,2,total,C0300.03,3
Awareness of climate change: Not aware,Auxiliary,2,total,C0300.03,24
Awareness of climate change: Not aware,"Rental, hiring, & real estate services",1,total,C0300.03,75
Awareness of climate change: Not aware,"Professional, scientific, & technical services",1,total,C0300.03,348
Awareness of climate change: Not aware,Computer systems design,2,total,C0300.03,72
Awareness of climate change: Not aware,Other professional scientific,2,total,C0300.03,276
Awareness of climate change: Not aware,Administrative & support services,1,total,C0300.03,90
Awareness of climate change: Not aware,Education & training,1,total,C0300.03,66
Awareness of climate change: Not aware,Health care & social assistance,1,total,C0300.03,213
Awareness of climate change: Not aware,Arts & recreation services,1,total,C0300.03,42
Awareness of climate change: Not aware,Other services,1,total,C0300.03,42
Awareness of climate change: Not aware,total,0,total,C0300.03,3624
Awareness of climate change: Don't know,total,0,6–19 employees,C0300.04,3156
Awareness of climate change: Don't know,total,0,20–49 employees,C0300.04,531
Awareness of climate change: Don't know,total,0,50–99 employees,C0300.04,108
Awareness of climate change: Don't know,total,0,100+ employees,C0300.04,63
Awareness of climate change: Don't know,"Agriculture, forestry, & fishing",1,total,C0300.04,192
Awareness of climate change: Don't know,Agriculture,2,total,C0300.04,108
Awareness of climate change: Don't know,Commercial fishing,2,total,C0300.04,3
Awareness of climate change: Don't know,Forestry & logging,2,total,C0300.04,6
Awareness of climate change: Don't know,"Agriculture, forestry, & fishing support services",2,total,C0300.04,75
Awareness of climate change: Don't know,Mining,1,total,C0300.04,6
Awareness of climate change: Don't know,Manufacturing,1,total,C0300.04,531
Awareness of climate change: Don't know,"Food, beverage, & tobacco",2,total,C0300.04,108
Awareness of climate change: Don't know,"Textile, clothing, footwear, & leather",2,total,C0300.04,27
Awareness of climate change: Don't know,Wood & paper product,2,total,C0300.04,45
Awareness of climate change: Don't know,"Printing, publishing, & recorded media",2,total,C0300.04,33
Awareness of climate change: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C0300.04,27
Awareness of climate change: Don't know,Non-metallic mineral product,2,total,C0300.04,9
Awareness of climate change: Don't know,Metal product,2,total,C0300.04,84
Awareness of climate change: Don't know,Transport and industrial machinery & equipment,2,total,C0300.04,129
Awareness of climate change: Don't know,Other machinery & equipment,2,total,C0300.04,12
Awareness of climate change: Don't know,Other manufacturing,2,total,C0300.04,60
Awareness of climate change: Don't know,"Electricity, gas, water, & waste services",1,total,C0300.04,12
Awareness of climate change: Don't know,Construction,1,total,C0300.04,450
Awareness of climate change: Don't know,Wholesale trade,1,total,C0300.04,276
Awareness of climate change: Don't know,Machinery & equipment wholesaling,2,total,C0300.04,63
Awareness of climate change: Don't know,Other wholesale trade,2,total,C0300.04,213
Awareness of climate change: Don't know,Retail trade,1,total,C0300.04,471
Awareness of climate change: Don't know,Accommodation & food services,1,total,C0300.04,759
Awareness of climate change: Don't know,"Transport, postal, & warehousing",1,total,C0300.04,48
Awareness of climate change: Don't know,Information media & telecommunications,1,total,C0300.04,9
Awareness of climate change: Don't know,Publishing,2,total,C0300.04,0
Awareness of climate change: Don't know,Motion picture,2,total,C0300.04,6
Awareness of climate change: Don't know,Telecommunications,2,total,C0300.04,3
Awareness of climate change: Don't know,Financial & insurance services,1,total,C0300.04,45
Awareness of climate change: Don't know,Finance,2,total,C0300.04,12
Awareness of climate change: Don't know,Insurance,2,total,C0300.04,0
Awareness of climate change: Don't know,Auxiliary,2,total,C0300.04,33
Awareness of climate change: Don't know,"Rental, hiring, & real estate services",1,total,C0300.04,150
Awareness of climate change: Don't know,"Professional, scientific, & technical services",1,total,C0300.04,270
Awareness of climate change: Don't know,Computer systems design,2,total,C0300.04,42
Awareness of climate change: Don't know,Other professional scientific,2,total,C0300.04,231
Awareness of climate change: Don't know,Administrative & support services,1,total,C0300.04,114
Awareness of climate change: Don't know,Education & training,1,total,C0300.04,102
Awareness of climate change: Don't know,Health care & social assistance,1,total,C0300.04,246
Awareness of climate change: Don't know,Arts & recreation services,1,total,C0300.04,51
Awareness of climate change: Don't know,Other services,1,total,C0300.04,117
Awareness of climate change: Don't know,total,0,total,C0300.04,3855
Awareness of government policies and programmes: Very aware,total,0,6–19 employees,C0400.01,9135
Awareness of government policies and programmes: Very aware,total,0,20–49 employees,C0400.01,2253
Awareness of government policies and programmes: Very aware,total,0,50–99 employees,C0400.01,822
Awareness of government policies and programmes: Very aware,total,0,100+ employees,C0400.01,798
Awareness of government policies and programmes: Very aware,"Agriculture, forestry, & fishing",1,total,C0400.01,2019
Awareness of government policies and programmes: Very aware,Agriculture,2,total,C0400.01,1548
Awareness of government policies and programmes: Very aware,Commercial fishing,2,total,C0400.01,12
Awareness of government policies and programmes: Very aware,Forestry & logging,2,total,C0400.01,93
Awareness of government policies and programmes: Very aware,"Agriculture, forestry, & fishing support services",2,total,C0400.01,366
Awareness of government policies and programmes: Very aware,Mining,1,total,C0400.01,60
Awareness of government policies and programmes: Very aware,Manufacturing,1,total,C0400.01,1347
Awareness of government policies and programmes: Very aware,"Food, beverage, & tobacco",2,total,C0400.01,399
Awareness of government policies and programmes: Very aware,"Textile, clothing, footwear, & leather",2,total,C0400.01,72
Awareness of government policies and programmes: Very aware,Wood & paper product,2,total,C0400.01,132
Awareness of government policies and programmes: Very aware,"Printing, publishing, & recorded media",2,total,C0400.01,36
Awareness of government policies and programmes: Very aware,"Petroleum, coal, chemical, & associated product",2,total,C0400.01,165
Awareness of government policies and programmes: Very aware,Non-metallic mineral product,2,total,C0400.01,78
Awareness of government policies and programmes: Very aware,Metal product,2,total,C0400.01,159
Awareness of government policies and programmes: Very aware,Transport and industrial machinery & equipment,2,total,C0400.01,177
Awareness of government policies and programmes: Very aware,Other machinery & equipment,2,total,C0400.01,75
Awareness of government policies and programmes: Very aware,Other manufacturing,2,total,C0400.01,57
Awareness of government policies and programmes: Very aware,"Electricity, gas, water, & waste services",1,total,C0400.01,99
Awareness of government policies and programmes: Very aware,Construction,1,total,C0400.01,1722
Awareness of government policies and programmes: Very aware,Wholesale trade,1,total,C0400.01,789
Awareness of government policies and programmes: Very aware,Machinery & equipment wholesaling,2,total,C0400.01,165
Awareness of government policies and programmes: Very aware,Other wholesale trade,2,total,C0400.01,621
Awareness of government policies and programmes: Very aware,Retail trade,1,total,C0400.01,1410
Awareness of government policies and programmes: Very aware,Accommodation & food services,1,total,C0400.01,1497
Awareness of government policies and programmes: Very aware,"Transport, postal, & warehousing",1,total,C0400.01,399
Awareness of government policies and programmes: Very aware,Information media & telecommunications,1,total,C0400.01,138
Awareness of government policies and programmes: Very aware,Publishing,2,total,C0400.01,54
Awareness of government policies and programmes: Very aware,Motion picture,2,total,C0400.01,33
Awareness of government policies and programmes: Very aware,Telecommunications,2,total,C0400.01,54
Awareness of government policies and programmes: Very aware,Financial & insurance services,1,total,C0400.01,219
Awareness of government policies and programmes: Very aware,Finance,2,total,C0400.01,78
Awareness of government policies and programmes: Very aware,Insurance,2,total,C0400.01,9
Awareness of government policies and programmes: Very aware,Auxiliary,2,total,C0400.01,135
Awareness of government policies and programmes: Very aware,"Rental, hiring, & real estate services",1,total,C0400.01,282
Awareness of government policies and programmes: Very aware,"Professional, scientific, & technical services",1,total,C0400.01,1248
Awareness of government policies and programmes: Very aware,Computer systems design,2,total,C0400.01,183
Awareness of government policies and programmes: Very aware,Other professional scientific,2,total,C0400.01,1065
Awareness of government policies and programmes: Very aware,Administrative & support services,1,total,C0400.01,540
Awareness of government policies and programmes: Very aware,Education & training,1,total,C0400.01,273
Awareness of government policies and programmes: Very aware,Health care & social assistance,1,total,C0400.01,477
Awareness of government policies and programmes: Very aware,Arts & recreation services,1,total,C0400.01,129
Awareness of government policies and programmes: Very aware,Other services,1,total,C0400.01,354
Awareness of government policies and programmes: Very aware,total,0,total,C0400.01,13008
Awareness of government policies and programmes: Somewhat aware,total,0,6–19 employees,C0400.02,19209
Awareness of government policies and programmes: Somewhat aware,total,0,20–49 employees,C0400.02,4521
Awareness of government policies and programmes: Somewhat aware,total,0,50–99 employees,C0400.02,1299
Awareness of government policies and programmes: Somewhat aware,total,0,100+ employees,C0400.02,978
Awareness of government policies and programmes: Somewhat aware,"Agriculture, forestry, & fishing",1,total,C0400.02,1599
Awareness of government policies and programmes: Somewhat aware,Agriculture,2,total,C0400.02,903
Awareness of government policies and programmes: Somewhat aware,Commercial fishing,2,total,C0400.02,39
Awareness of government policies and programmes: Somewhat aware,Forestry & logging,2,total,C0400.02,150
Awareness of government policies and programmes: Somewhat aware,"Agriculture, forestry, & fishing support services",2,total,C0400.02,507
Awareness of government policies and programmes: Somewhat aware,Mining,1,total,C0400.02,48
Awareness of government policies and programmes: Somewhat aware,Manufacturing,1,total,C0400.02,3114
Awareness of government policies and programmes: Somewhat aware,"Food, beverage, & tobacco",2,total,C0400.02,570
Awareness of government policies and programmes: Somewhat aware,"Textile, clothing, footwear, & leather",2,total,C0400.02,159
Awareness of government policies and programmes: Somewhat aware,Wood & paper product,2,total,C0400.02,285
Awareness of government policies and programmes: Somewhat aware,"Printing, publishing, & recorded media",2,total,C0400.02,138
Awareness of government policies and programmes: Somewhat aware,"Petroleum, coal, chemical, & associated product",2,total,C0400.02,246
Awareness of government policies and programmes: Somewhat aware,Non-metallic mineral product,2,total,C0400.02,120
Awareness of government policies and programmes: Somewhat aware,Metal product,2,total,C0400.02,654
Awareness of government policies and programmes: Somewhat aware,Transport and industrial machinery & equipment,2,total,C0400.02,573
Awareness of government policies and programmes: Somewhat aware,Other machinery & equipment,2,total,C0400.02,138
Awareness of government policies and programmes: Somewhat aware,Other manufacturing,2,total,C0400.02,228
Awareness of government policies and programmes: Somewhat aware,"Electricity, gas, water, & waste services",1,total,C0400.02,78
Awareness of government policies and programmes: Somewhat aware,Construction,1,total,C0400.02,3627
Awareness of government policies and programmes: Somewhat aware,Wholesale trade,1,total,C0400.02,1896
Awareness of government policies and programmes: Somewhat aware,Machinery & equipment wholesaling,2,total,C0400.02,696
Awareness of government policies and programmes: Somewhat aware,Other wholesale trade,2,total,C0400.02,1200
Awareness of government policies and programmes: Somewhat aware,Retail trade,1,total,C0400.02,2571
Awareness of government policies and programmes: Somewhat aware,Accommodation & food services,1,total,C0400.02,3534
Awareness of government policies and programmes: Somewhat aware,"Transport, postal, & warehousing",1,total,C0400.02,1080
Awareness of government policies and programmes: Somewhat aware,Information media & telecommunications,1,total,C0400.02,225
Awareness of government policies and programmes: Somewhat aware,Publishing,2,total,C0400.02,90
Awareness of government policies and programmes: Somewhat aware,Motion picture,2,total,C0400.02,72
Awareness of government policies and programmes: Somewhat aware,Telecommunications,2,total,C0400.02,57
Awareness of government policies and programmes: Somewhat aware,Financial & insurance services,1,total,C0400.02,324
Awareness of government policies and programmes: Somewhat aware,Finance,2,total,C0400.02,105
Awareness of government policies and programmes: Somewhat aware,Insurance,2,total,C0400.02,24
Awareness of government policies and programmes: Somewhat aware,Auxiliary,2,total,C0400.02,198
Awareness of government policies and programmes: Somewhat aware,"Rental, hiring, & real estate services",1,total,C0400.02,594
Awareness of government policies and programmes: Somewhat aware,"Professional, scientific, & technical services",1,total,C0400.02,2913
Awareness of government policies and programmes: Somewhat aware,Computer systems design,2,total,C0400.02,594
Awareness of government policies and programmes: Somewhat aware,Other professional scientific,2,total,C0400.02,2322
Awareness of government policies and programmes: Somewhat aware,Administrative & support services,1,total,C0400.02,999
Awareness of government policies and programmes: Somewhat aware,Education & training,1,total,C0400.02,591
Awareness of government policies and programmes: Somewhat aware,Health care & social assistance,1,total,C0400.02,1719
Awareness of government policies and programmes: Somewhat aware,Arts & recreation services,1,total,C0400.02,270
Awareness of government policies and programmes: Somewhat aware,Other services,1,total,C0400.02,819
Awareness of government policies and programmes: Somewhat aware,total,0,total,C0400.02,26010
Awareness of government policies and programmes: Not aware,total,0,6–19 employees,C0400.03,4044
Awareness of government policies and programmes: Not aware,total,0,20–49 employees,C0400.03,810
Awareness of government policies and programmes: Not aware,total,0,50–99 employees,C0400.03,150
Awareness of government policies and programmes: Not aware,total,0,100+ employees,C0400.03,81
Awareness of government policies and programmes: Not aware,"Agriculture, forestry, & fishing",1,total,C0400.03,102
Awareness of government policies and programmes: Not aware,Agriculture,2,total,C0400.03,30
Awareness of government policies and programmes: Not aware,Commercial fishing,2,total,C0400.03,0
Awareness of government policies and programmes: Not aware,Forestry & logging,2,total,C0400.03,15
Awareness of government policies and programmes: Not aware,"Agriculture, forestry, & fishing support services",2,total,C0400.03,57
Awareness of government policies and programmes: Not aware,Mining,1,total,C0400.03,3
Awareness of government policies and programmes: Not aware,Manufacturing,1,total,C0400.03,525
Awareness of government policies and programmes: Not aware,"Food, beverage, & tobacco",2,total,C0400.03,156
Awareness of government policies and programmes: Not aware,"Textile, clothing, footwear, & leather",2,total,C0400.03,15
Awareness of government policies and programmes: Not aware,Wood & paper product,2,total,C0400.03,75
Awareness of government policies and programmes: Not aware,"Printing, publishing, & recorded media",2,total,C0400.03,24
Awareness of government policies and programmes: Not aware,"Petroleum, coal, chemical, & associated product",2,total,C0400.03,15
Awareness of government policies and programmes: Not aware,Non-metallic mineral product,2,total,C0400.03,12
Awareness of government policies and programmes: Not aware,Metal product,2,total,C0400.03,96
Awareness of government policies and programmes: Not aware,Transport and industrial machinery & equipment,2,total,C0400.03,75
Awareness of government policies and programmes: Not aware,Other machinery & equipment,2,total,C0400.03,18
Awareness of government policies and programmes: Not aware,Other manufacturing,2,total,C0400.03,39
Awareness of government policies and programmes: Not aware,"Electricity, gas, water, & waste services",1,total,C0400.03,9
Awareness of government policies and programmes: Not aware,Construction,1,total,C0400.03,891
Awareness of government policies and programmes: Not aware,Wholesale trade,1,total,C0400.03,318
Awareness of government policies and programmes: Not aware,Machinery & equipment wholesaling,2,total,C0400.03,72
Awareness of government policies and programmes: Not aware,Other wholesale trade,2,total,C0400.03,243
Awareness of government policies and programmes: Not aware,Retail trade,1,total,C0400.03,555
Awareness of government policies and programmes: Not aware,Accommodation & food services,1,total,C0400.03,999
Awareness of government policies and programmes: Not aware,"Transport, postal, & warehousing",1,total,C0400.03,132
Awareness of government policies and programmes: Not aware,Information media & telecommunications,1,total,C0400.03,48
Awareness of government policies and programmes: Not aware,Publishing,2,total,C0400.03,9
Awareness of government policies and programmes: Not aware,Motion picture,2,total,C0400.03,21
Awareness of government policies and programmes: Not aware,Telecommunications,2,total,C0400.03,15
Awareness of government policies and programmes: Not aware,Financial & insurance services,1,total,C0400.03,51
Awareness of government policies and programmes: Not aware,Finance,2,total,C0400.03,12
Awareness of government policies and programmes: Not aware,Insurance,2,total,C0400.03,6
Awareness of government policies and programmes: Not aware,Auxiliary,2,total,C0400.03,39
Awareness of government policies and programmes: Not aware,"Rental, hiring, & real estate services",1,total,C0400.03,60
Awareness of government policies and programmes: Not aware,"Professional, scientific, & technical services",1,total,C0400.03,516
Awareness of government policies and programmes: Not aware,Computer systems design,2,total,C0400.03,126
Awareness of government policies and programmes: Not aware,Other professional scientific,2,total,C0400.03,393
Awareness of government policies and programmes: Not aware,Administrative & support services,1,total,C0400.03,138
Awareness of government policies and programmes: Not aware,Education & training,1,total,C0400.03,165
Awareness of government policies and programmes: Not aware,Health care & social assistance,1,total,C0400.03,354
Awareness of government policies and programmes: Not aware,Arts & recreation services,1,total,C0400.03,81
Awareness of government policies and programmes: Not aware,Other services,1,total,C0400.03,132
Awareness of government policies and programmes: Not aware,total,0,total,C0400.03,5082
Awareness of government policies and programmes: Don't know,total,0,6–19 employees,C0400.04,2610
Awareness of government policies and programmes: Don't know,total,0,20–49 employees,C0400.04,546
Awareness of government policies and programmes: Don't know,total,0,50–99 employees,C0400.04,120
Awareness of government policies and programmes: Don't know,total,0,100+ employees,C0400.04,60
Awareness of government policies and programmes: Don't know,"Agriculture, forestry, & fishing",1,total,C0400.04,159
Awareness of government policies and programmes: Don't know,Agriculture,2,total,C0400.04,72
Awareness of government policies and programmes: Don't know,Commercial fishing,2,total,C0400.04,0
Awareness of government policies and programmes: Don't know,Forestry & logging,2,total,C0400.04,12
Awareness of government policies and programmes: Don't know,"Agriculture, forestry, & fishing support services",2,total,C0400.04,78
Awareness of government policies and programmes: Don't know,Mining,1,total,C0400.04,3
Awareness of government policies and programmes: Don't know,Manufacturing,1,total,C0400.04,441
Awareness of government policies and programmes: Don't know,"Food, beverage, & tobacco",2,total,C0400.04,87
Awareness of government policies and programmes: Don't know,"Textile, clothing, footwear, & leather",2,total,C0400.04,15
Awareness of government policies and programmes: Don't know,Wood & paper product,2,total,C0400.04,48
Awareness of government policies and programmes: Don't know,"Printing, publishing, & recorded media",2,total,C0400.04,30
Awareness of government policies and programmes: Don't know,"Petroleum, coal, chemical, & associated product",2,total,C0400.04,27
Awareness of government policies and programmes: Don't know,Non-metallic mineral product,2,total,C0400.04,9
Awareness of government policies and programmes: Don't know,Metal product,2,total,C0400.04,75
Awareness of government policies and programmes: Don't know,Transport and industrial machinery & equipment,2,total,C0400.04,84
Awareness of government policies and programmes: Don't know,Other machinery & equipment,2,total,C0400.04,15
Awareness of government policies and programmes: Don't know,Other manufacturing,2,total,C0400.04,48
Awareness of government policies and programmes: Don't know,"Electricity, gas, water, & waste services",1,total,C0400.04,12
Awareness of government policies and programmes: Don't know,Construction,1,total,C0400.04,447
Awareness of government policies and programmes: Don't know,Wholesale trade,1,total,C0400.04,216
Awareness of government policies and programmes: Don't know,Machinery & equipment wholesaling,2,total,C0400.04,33
Awareness of government policies and programmes: Don't know,Other wholesale trade,2,total,C0400.04,183
Awareness of government policies and programmes: Don't know,Retail trade,1,total,C0400.04,384
Awareness of government policies and programmes: Don't know,Accommodation & food services,1,total,C0400.04,705
Awareness of government policies and programmes: Don't know,"Transport, postal, & warehousing",1,total,C0400.04,60
Awareness of government policies and programmes: Don't know,Information media & telecommunications,1,total,C0400.04,18
Awareness of government policies and programmes: Don't know,Publishing,2,total,C0400.04,3
Awareness of government policies and programmes: Don't know,Motion picture,2,total,C0400.04,9
Awareness of government policies and programmes: Don't know,Telecommunications,2,total,C0400.04,3
Awareness of government policies and programmes: Don't know,Financial & insurance services,1,total,C0400.04,39
Awareness of government policies and programmes: Don't know,Finance,2,total,C0400.04,12
Awareness of government policies and programmes: Don't know,Insurance,2,total,C0400.04,0
Awareness of government policies and programmes: Don't know,Auxiliary,2,total,C0400.04,30
